bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P168,S90,6,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0
P168,S90,6,993.31,993.31,0,1,0,0,993.31,993.31,0,0.0,0,1,0.0,0.0
P168,S90,6,993.49,0.18000000000006366,0,1,0,0,993.49,993.49,0,1.0,0,2,0.0,1.1800000000000637
P168,S90,6,993.76,0.2699999999999818,0,1,0,0,993.76,993.76,0,2.1800000000000637,0,3,0.0,2.4500000000000455
P168,S90,6,993.96,0.20000000000004547,0,1,0,0,993.96,993.96,0,3.4500000000000455,0,4,0.0,3.650000000000091
P168,S90,6,994.05,0.08999999999991815,0,1,0,0,994.05,994.05,0,4.650000000000091,0,5,0.0,4.740000000000009
P168,S90,6,994.16,0.11000000000001364,0,1,0,0,994.16,994.16,0,5.740000000000009,0,6,0.0,5.850000000000023
P168,S90,6,994.24,0.08000000000004093,0,1,0,0,994.24,994.24,0,6.850000000000023,0,7,0.0,6.930000000000064
P168,S90,6,994.35,0.11000000000001364,0,1,0,0,994.35,994.35,0,7.930000000000064,0,8,0.0,8.040000000000077
P168,S90,6,994.54,0.18999999999994088,0,1,0,0,994.54,994.54,0,9.040000000000077,0,9,0.0,9.230000000000018
P168,S90,6,994.62,0.08000000000004093,0,1,0,0,994.62,994.62,0,10.230000000000018,0,10,0.0,10.31000000000006
P168,S90,6,994.98,0.36000000000001364,0,1,0,0,994.98,994.98,0,11.31000000000006,0,11,0.0,11.670000000000073
P168,S90,6,995.07,0.09000000000003183,0,1,0,0,995.07,995.07,0,12.670000000000073,0,12,0.0,12.760000000000105
P168,S90,6,995.4,0.32999999999992724,0,1,0,0,995.4,995.4,0,13.760000000000105,0,13,0.0,14.090000000000032
P168,S90,6,995.51,0.11000000000001364,0,1,0,0,995.51,995.51,0,15.090000000000032,0,14,0.0,15.200000000000045
P168,S90,6,995.84,0.3300000000000409,0,1,0,0,995.84,995.84,0,16.200000000000045,0,15,0.0,16.530000000000086
P168,S90,6,996.05,0.2099999999999227,0,1,0,0,996.05,996.05,0,17.530000000000086,0,16,0.0,17.74000000000001
P168,S90,6,996.15,0.10000000000002274,0,1,0,0,996.15,996.15,0,18.74000000000001,0,17,0.0,18.840000000000032
P168,S90,6,996.37,0.22000000000002728,0,1,0,0,996.37,996.37,0,19.840000000000032,0,18,0.0,20.06000000000006
P168,S90,6,996.47,0.10000000000002274,0,1,0,0,996.47,996.47,0,21.06000000000006,0,19,0.0,21.160000000000082
P168,S90,6,996.86,0.38999999999998636,0,1,0,0,996.86,996.86,0,22.160000000000082,0,20,0.0,22.550000000000068
P168,S90,6,996.96,0.10000000000002274,0,1,0,0,996.96,996.96,0,23.550000000000068,0,21,0.0,23.65000000000009
P168,S90,6,997.3,0.33999999999991815,0,1,0,0,997.3,997.3,0,24.65000000000009,0,22,0.0,24.99000000000001
P168,S90,6,997.38,0.08000000000004093,0,1,0,0,997.38,997.38,0,25.99000000000001,0,23,0.0,26.07000000000005
P168,S90,6,997.46,0.08000000000004093,0,1,0,0,997.46,997.46,0,27.07000000000005,0,24,0.0,27.15000000000009
P168,S90,6,997.8,0.33999999999991815,0,1,0,0,997.8,997.8,0,28.15000000000009,0,25,0.0,28.49000000000001
P168,S90,6,998.12,0.32000000000005,0,1,0,0,998.12,998.12,0,29.49000000000001,0,26,0.0,29.81000000000006
